Date,Price USD,Inflation Rate,year,month,1_month_predict,2_month_predict,3_month_predict,4_month_predict,5_month_predict,6_month_predict,7_month_predict,8_month_predict,9_month_predict,10_month_predict,11_month_predict,12_month_predict,Last 3Month Price,Last 4Month Price,Last 5Month Price,3month avg,exponential average
4/1/2020,1.71,-1.04,2020,4,2.852852970798594,2.772703742995476,2.721065773480464,2.6808653492848507,2.646293903804733,2.6182340595026825,2.5973888691780678,2.584264313256519,2.57915716855224,2.582148534923659,2.593103153511492,2.6116744950020023,2.47,3.03,2.98,2.8266666666666667,2.520527598169394
5/1/2020,1.65,-0.94,2020,5,2.908384284803035,2.8107819467891972,2.7252826187494614,2.682845089698054,2.645654552011836,2.6145760809655414,2.5903203027073154,2.573427249848679,2.5642544710049133,2.562969652551914,2.5695478995477017,2.5837737086746584,2.31,2.47,3.03,2.6033333333333335,2.329138872560854
6/1/2020,1.51,-0.23,2020,6,2.881386598299339,2.7923836340543136,2.7464016683177177,2.7166894060362297,2.6912361679412187,2.6706131267807467,2.6552734283769412,2.645542317841829,2.641610354393328,2.6435298533854232,2.6512146170065862,2.6644429370287104,2.36,2.31,2.47,2.3800000000000003,2.3571944429600773
7/1/2020,1.74,0.062,2020,7,2.9495045743834543,2.8925455250371637,2.837811333439144,2.8045241649126504,2.774486921741711,2.7482904322589268,2.726423367727986,2.7092639333897566,2.697074268083869,2.6899976070083245,2.688058198481546,2.691163903763231,1.71,2.36,2.31,2.126666666666667,1.768835858450916
8/1/2020,1.79,-0.303,2020,8,2.5025675841690136,2.4627742319560517,2.5487872590679084,2.5474681900605245,2.6100571676819317,2.622539696358886,2.658724449265827,2.6730417856861974,2.6954577668812916,2.7078571903989372,2.722487496511382,2.73221800364812,1.65,1.71,2.36,1.9066666666666665,1.660803259859174
9/1/2020,1.84,-0.308,2020,9,2.252930317321008,2.316107695196754,2.3705455759429217,2.4639080697024163,2.5212692524029747,2.5759575576452574,2.6146771737431034,2.6480593875520855,2.6732655039578965,2.6940559784185063,2.7102171823350116,2.723287353518436,1.51,1.65,1.71,1.6233333333333333,1.523709387259925
10/1/2020,1.9,-0.205,2020,10,2.4248307224342804,2.359136340035083,2.269040650679667,2.199334393228134,2.13330145598476,2.071592284203797,2.0148147325806094,1.9635280776922899,1.9182375089490866,1.87938915232249,1.847365675867796,1.8224825203280954,1.74,1.51,1.65,1.6333333333333335,1.7203372170236295
11/1/2020,1.95,-1.16,2020,11,1.7985152549490477,1.8889288702085945,1.821212441678132,2.0146411519225653,2.0996523526982873,2.2243943189049524,2.285739622967716,2.366672332933473,2.410262076726546,2.4630540824724516,2.4936753997407726,2.528274662616174,1.79,1.74,1.51,1.68,1.7836670197294209
12/1/2020,2.01,-0.303,2020,12,1.7018705600324568,1.6324190032463013,1.7424116778411163,1.8530775571362035,1.9634058974027204,2.046426296460652,2.1273788539200256,2.189537812511781,2.249019773484215,2.2954834304081713,2.339242524550044,2.373926652994323,1.84,1.79,1.74,1.79,1.834878819975402
1/1/2021,1.92,6.48,2021,1,1.4020342095664124,1.4952275221745326,1.5162555193670717,1.642060244462071,1.6987955627619071,1.7928181729226715,1.845964176316514,1.9179204616139194,1.9651738591526369,2.021275643629119,2.062053287880457,2.106411760153447,1.9,1.84,1.79,1.8433333333333335,1.8940798927250364
